Source IP,Flow Count
50.149.21.29,116
64.208.138.118,20
74.125.226.228,25
65.19.76.135,84
74.125.226.217,51
199.102.234.31,636
74.125.226.224,18
74.101.38.221,134
173.61.73.122,185
173.59.1.130,96
35.24.119.169,92
68.142.253.40,10
67.171.115.41,70
96.3.161.187,49
207.171.14.112,7
209.34.90.75,8
75.126.109.194,77
67.69.174.24,13
23.13.211.100,2127
54.243.70.224,11
172.16.133.16,2087
172.16.133.112,332
174.129.24.14,323
67.69.196.153,10
205.188.201.137,2
23.15.129.86,781
50.16.211.32,149
74.125.226.207,424
180.153.30.250,62
173.194.75.106,239
23.60.228.46,13
23.20.26.196,94
67.152.103.227,374
172.16.133.22,43
67.69.174.113,13
184.72.243.110,20
23.21.114.119,3
157.56.52.24,34
67.69.174.18,44
198.145.13.24,15
74.125.226.86,90
184.73.197.44,249
216.115.209.97,109
63.116.244.80,36
74.125.226.206,9
173.194.43.62,25
63.116.244.83,10
74.125.226.67,96
23.62.105.87,780
66.92.149.253,90
23.61.18.110,44
74.125.226.245,269
67.69.174.115,60
64.12.152.13,7
74.125.226.246,75
184.73.184.196,3
75.101.129.242,8
193.182.8.51,9
174.129.141.188,10
63.116.244.153,14
23.62.196.163,21
63.116.244.130,28
107.20.217.22,3
173.194.75.104,620
23.67.243.81,14
207.171.14.219,7
23.67.242.83,32
173.194.74.155,7
173.194.43.32,281
203.214.65.251,39
209.46.23.85,30
216.115.217.254,54
23.23.86.35,3
74.125.226.91,87
31.13.74.7,194
216.219.120.244,51
74.125.226.213,57
209.107.209.50,1873
67.69.196.59,7
216.115.220.254,51
202.173.27.250,53
23.33.85.239,5
23.45.65.19,38
54.243.32.162,3
67.69.196.139,62
119.47.118.78,13
173.203.215.84,4
54.240.160.242,4
65.54.81.228,4
173.194.43.60,674
64.236.116.3,10
74.125.226.60,102
72.21.207.18,8
23.67.242.73,244
74.125.226.233,24
208.89.13.133,70
23.60.245.109,21
199.47.218.150,26
23.33.84.46,4
74.125.226.92,7
199.59.148.247,26
173.194.43.0,398
23.22.135.102,76
107.21.174.95,22
173.194.74.95,135
204.232.201.76,74
173.194.43.21,255
173.194.43.58,259
216.52.92.45,8
173.194.43.36,333
208.44.23.50,13
173.194.43.9,162
172.16.133.115,454
208.47.254.81,465
74.125.226.28,7
23.33.47.196,11
23.33.83.167,3
69.25.24.24,66
23.67.242.41,6
68.67.159.147,29
23.21.74.238,5
74.119.118.94,67
74.119.118.84,41
208.71.123.86,6
23.67.243.65,19
64.94.2.224,9
199.7.52.72,1
208.81.234.106,6
91.103.138.13,12
208.111.160.6,1527
50.136.53.54,105
64.94.107.55,21
129.10.139.136,98
23.66.230.80,1873
107.20.161.243,27
174.65.136.31,29
64.94.107.14,34
138.108.6.20,153
172.16.133.234,320
63.147.189.115,102
207.237.194.246,29
65.31.30.198,108
173.194.43.33,457
67.244.23.29,35
206.188.4.2,34
98.138.49.43,293
69.2.103.57,44
64.12.96.244,9
208.71.125.72,9
74.117.199.102,7
216.52.92.23,8
23.62.151.196,10
23.0.51.167,20
23.32.180.174,50
23.60.159.231,35
23.6.20.174,13
50.30.152.70,154
74.125.226.58,25
107.22.184.229,6
64.236.116.18,7
23.67.242.11,33
64.94.18.161,10
68.191.201.2,3
173.62.112.151,41
205.234.225.216,7
67.69.174.136,15
23.21.215.52,21
193.182.8.24,37
204.14.235.118,10
173.194.43.47,435
173.194.43.41,349
173.194.43.39,626
216.219.117.209,94
69.171.241.10,24
172.16.133.101,146
172.16.124.85,1
96.43.146.160,9
172.16.133.51,94
173.194.43.53,629
67.217.95.254,63
65.54.61.217,7
78.108.117.250,61
216.219.117.244,60
107.23.112.156,18
23.33.93.95,1
23.33.94.91,1
23.33.44.150,13
202.173.25.200,61
64.94.107.62,66
8.27.243.253,701
216.38.172.159,8
74.217.78.184,3
173.194.74.84,102
23.46.17.144,10
74.125.133.189,33
23.33.47.60,516
172.16.133.17,37
23.67.242.50,62
74.217.78.146,14
172.16.139.241,400
107.20.158.52,344
172.16.133.153,2367
174.129.24.9,4502
23.20.41.5,20
157.55.113.200,16
74.125.226.193,97
23.67.242.80,93
173.194.43.43,289
173.194.41.111,89
108.160.160.163,12
23.62.207.139,5
206.188.4.26,1
23.33.95.8,2
96.43.149.26,130
66.235.146.171,67
67.69.196.40,36
23.33.91.46,2
23.67.242.34,1
64.74.101.52,3
66.150.102.78,1
64.74.80.187,22
67.217.65.244,22
131.203.115.170,12
216.115.212.254,22
96.43.148.26,93
204.14.235.124,116
202.173.28.250,22
23.67.242.59,7
172.16.133.14,53
173.194.43.63,6
193.182.8.52,1256
69.171.235.16,84
74.122.143.72,3
199.59.149.230,34
173.194.75.147,315
23.33.81.213,317
184.173.190.13,41
184.51.251.100,28
64.94.107.18,24
64.236.116.15,2
208.85.42.33,1236
173.2.154.228,49
23.67.242.8,2
65.115.189.199,1
157.55.130.152,14
74.125.226.199,44
74.125.226.192,27
67.69.196.147,9
65.54.49.142,4
63.215.202.6,6
68.64.5.249,62
95.211.37.195,6
74.125.133.125,17
173.192.115.20,7
172.16.125.220,35
8.18.45.80,30
173.194.43.55,71
8.18.45.81,15
64.94.107.23,20
172.16.133.232,69
192.147.107.14,27
172.16.128.201,4900
172.16.133.6,2907
172.16.128.234,43
72.21.211.130,19
216.115.208.203,98
67.69.174.130,56
23.67.243.19,150
193.182.8.38,15
204.236.235.239,10
172.16.133.91,17
216.137.33.105,26
173.194.43.3,76
173.194.43.44,64
173.194.43.6,37
173.194.43.42,107
184.73.225.104,377
172.16.133.69,27
64.94.18.131,10
50.19.123.188,29
67.217.67.129,141
157.56.234.137,53
173.194.43.35,330
173.194.43.34,484
216.137.33.141,2
173.194.43.37,149
172.16.133.184,3444
74.125.170.42,7402
205.216.16.228,2204
173.194.43.5,8
206.190.56.191,4
157.56.236.89,54
204.14.232.101,60
74.125.0.74,6
208.117.233.13,10
173.194.43.61,31
66.235.144.18,2
157.56.240.137,48
172.16.133.27,373
64.94.18.135,10
50.16.236.32,29
67.221.174.64,6
173.194.76.189,34
205.188.9.102,12
157.56.244.217,51
216.185.152.144,115
111.221.77.150,38
108.160.161.158,10
107.20.234.161,28
93.184.215.248,22
216.137.33.45,20
204.246.169.230,11
23.67.242.72,5
157.56.240.22,29
209.112.253.15,530
204.93.223.146,60
72.233.61.123,13
93.184.216.119,59
74.125.226.85,874
74.121.142.246,6
70.184.144.100,32
74.125.226.227,19
209.107.209.26,22
74.125.226.198,9
23.67.242.10,74
69.174.248.253,423
172.16.128.203,13
23.67.242.32,6
141.101.113.194,173
67.228.168.216,25
207.171.163.132,4
199.127.194.80,42
38.100.166.70,7
64.17.236.31,497
208.47.254.89,14
208.47.254.58,15
216.151.187.105,25
93.184.216.139,114
208.47.254.73,75
208.47.254.75,5
23.59.225.224,56
23.46.20.239,35
65.55.227.188,7
174.37.29.147,3
68.142.108.128,9
23.60.241.224,81
76.74.248.163,6
67.69.174.17,11
67.69.174.9,700
67.69.174.25,11
173.192.61.230,3
69.28.187.188,93
23.60.158.239,41
63.251.134.223,5
69.164.34.128,20
72.233.111.159,7
23.67.243.89,26
173.252.110.27,621
157.56.52.30,32
173.194.74.121,76
72.246.23.100,11
63.84.95.66,22
205.251.242.39,5
205.188.2.206,10
208.47.254.64,5
8.20.172.30,4
23.33.111.139,44
173.194.75.105,411
23.32.177.224,5
23.33.98.110,7
208.47.254.67,10
74.125.226.7,130
23.59.228.136,34
64.94.18.142,9
131.253.14.73,7
63.116.244.131,1
38.70.64.178,399
23.33.95.139,80
208.47.254.66,2
74.125.226.219,7
23.60.225.244,30
65.55.71.205,3
204.145.89.40,9
208.47.254.24,73
74.125.226.205,51
72.21.91.19,30
74.125.226.13,73
64.94.43.110,3
173.192.61.226,20
67.69.174.137,5
74.125.226.40,28
23.60.244.136,3
208.44.23.59,33
74.125.226.47,146
69.174.248.254,160
65.55.71.123,4
23.32.182.35,4
63.241.108.124,107
74.125.226.6,4
66.235.155.28,4
108.160.161.162,10
74.125.226.90,27
208.47.254.90,6
107.21.241.184,8
174.37.29.148,71
208.47.254.56,2
23.46.20.251,20
12.130.81.225,3
205.234.225.224,5
23.33.83.78,404
23.60.158.251,2
67.69.174.131,2
12.129.199.104,5
208.47.254.26,62
23.33.82.110,152
204.93.223.148,15
151.193.254.39,20
205.153.84.114,20
184.84.3.78,714
66.235.132.118,3
63.208.138.234,12
173.192.42.178,10
67.228.168.217,10
208.47.254.50,2
216.151.187.131,2
205.203.131.32,4
107.22.214.3,19
173.194.31.174,6
74.125.226.38,28
208.47.254.32,81
205.251.242.128,7
74.205.80.2,15
67.195.187.234,4
184.84.43.32,13
173.194.31.178,533
208.47.254.82,18
199.127.194.206,12
74.125.226.226,20
173.194.74.189,8
208.47.254.80,3
208.47.254.10,8
67.217.64.244,99
216.115.223.200,106
173.194.43.1,7
66.151.150.190,99
216.219.113.250,103
216.52.121.204,485
74.125.142.125,15
67.221.174.61,5
74.125.226.59,20
23.33.44.168,9
23.45.65.57,355
98.129.93.186,6
69.28.187.152,3
199.204.31.83,55
208.47.254.27,52
50.17.253.124,5
208.47.254.9,220
216.137.33.133,30
74.125.226.8,11
23.67.242.27,74
66.114.52.25,9
174.35.22.77,19
199.204.31.123,20
199.204.29.117,13
74.125.226.229,18
23.60.238.131,245
67.69.174.122,31
132.245.1.166,29
205.234.225.137,26
174.129.245.199,8
208.47.254.8,48
23.62.105.231,10
199.204.31.89,165
65.55.71.195,3
216.137.33.49,4
98.139.240.22,13
74.125.226.25,26
23.60.225.169,20
74.120.148.5,22
184.169.133.107,12
50.16.233.105,8
66.235.133.14,9
107.22.223.184,51
174.129.236.22,6
67.69.174.138,6
74.120.148.2,58
66.235.142.49,9
50.18.47.197,7
67.69.196.41,11
67.69.174.123,23
199.59.148.86,134
23.21.250.167,71
174.35.24.67,127
75.101.140.131,153
63.85.36.24,8
23.61.31.139,51
174.35.22.85,67
69.171.246.17,16
54.243.251.10,8
50.19.249.172,7
190.93.246.193,8
208.47.254.34,69
108.160.161.163,12
50.19.208.49,8
199.47.216.146,10
23.15.128.239,71
54.243.97.145,3
65.54.80.208,8
68.67.159.201,41
74.125.226.230,16
63.135.90.139,19
69.20.31.45,15
98.139.225.43,143
184.173.89.4,25
173.241.242.12,16
63.135.90.138,17
23.45.65.74,10
173.241.242.153,12
107.20.231.134,4
208.92.52.90,25
63.116.244.114,1107
96.43.146.13,36
168.215.63.101,37
54.243.98.221,18
199.48.204.30,147
63.116.244.144,50
23.67.242.17,36
207.171.163.205,12
208.47.254.25,64
74.125.226.2,94
74.125.226.4,68
199.59.150.12,18
64.4.23.161,36
108.160.161.157,10
74.121.134.156,1
74.201.34.2,18
216.115.216.250,71
68.64.26.250,60
68.64.4.249,70
216.219.116.244,70
192.147.107.13,24
174.129.29.218,10
65.55.171.159,9
67.195.187.214,6
157.55.235.144,18
184.73.187.64,13
132.245.1.134,27
208.47.254.35,20
96.43.146.149,23
107.21.110.186,12
208.44.23.162,272
74.125.226.231,31
199.47.219.147,11
54.240.160.134,62
65.55.71.43,6
23.46.16.170,24
64.94.107.47,7
66.235.143.121,5
23.62.104.251,45
64.94.107.34,10
15.193.0.234,2473
4.23.40.126,18
63.116.244.155,321
184.173.189.190,26
15.216.110.140,33
50.17.246.106,4
75.98.35.10,7
66.77.124.68,7
199.48.206.68,53
199.48.206.210,155
199.48.206.78,73
74.217.1.83,15
208.71.125.135,3
173.194.78.125,6
107.21.214.225,42
199.48.206.108,62
74.217.1.80,4
98.139.225.42,19
190.93.240.8,7
174.35.22.147,9
96.43.146.177,49
66.235.139.153,31
65.54.61.211,5
23.45.65.41,2
54.243.154.81,2
68.64.25.250,60
216.115.209.254,60
78.108.119.250,60
23.15.128.251,2
23.67.242.58,2
63.140.35.28,2
64.94.107.19,6
173.194.43.2,28
74.125.226.232,21
23.62.196.46,15
204.154.111.33,62
74.125.226.5,8
74.125.170.143,5603
74.125.226.39,14
213.199.179.161,11
64.94.107.63,9
64.94.107.58,22
173.252.100.27,160
74.125.226.35,11
63.116.244.139,2
12.130.81.228,10
74.125.170.112,13
74.125.170.114,1646
180.153.31.250,63
74.125.228.127,15
23.33.85.199,642
72.21.91.196,41
204.2.197.201,6
64.215.255.17,19
216.38.163.167,34
64.215.255.56,3
208.89.14.135,48
74.121.142.248,29
199.16.156.40,6
72.21.215.197,3
67.69.174.32,4
72.21.214.199,15
74.125.228.120,6
204.14.235.101,164
209.167.231.15,18
66.235.147.78,4
63.116.244.170,7
72.21.91.97,52
98.129.142.248,63
208.74.204.95,61
108.162.199.98,220
216.137.33.73,748
72.21.91.121,190
23.6.17.224,234
23.62.164.136,48
23.62.195.78,101
23.67.243.40,78
31.13.77.42,27
4.28.73.137,40
23.32.180.136,137
23.45.65.10,184
173.192.42.179,19
67.228.244.117,30
67.228.30.242,16
107.21.205.194,5
173.194.73.99,102
141.101.123.194,115
72.21.91.111,19
173.201.252.207,255
69.42.109.196,31
174.35.22.19,6
204.13.194.137,60
69.59.149.117,12
72.32.20.62,15
72.32.11.141,4
75.125.82.68,5
12.130.48.50,500
173.194.43.8,11
12.130.48.51,471
75.98.93.51,15
157.55.145.210,7
107.20.206.100,16
54.235.184.94,15
173.204.219.5,25
23.21.118.18,49
216.52.121.177,53
72.32.20.63,28
23.62.193.244,61
204.13.194.136,24
74.125.226.218,173
108.170.193.53,404
50.116.194.23,31
208.71.125.131,5
204.144.141.26,7
23.13.208.74,11
96.8.82.144,6
216.137.33.81,128
23.15.128.66,34
208.71.125.1,69
199.7.54.72,14
205.210.187.172,8
64.5.35.24,1
205.210.187.119,126
107.22.3.252,6
69.172.216.156,111
157.56.134.97,100
65.54.81.133,275
23.33.85.215,27
68.67.159.186,10
54.240.160.90,3
208.47.254.42,9
64.236.101.12,8
205.210.187.180,8
68.67.159.224,7
208.91.175.36,5
54.243.145.248,38
54.243.192.249,19
209.190.70.254,155
205.210.187.222,8
208.47.254.57,12
64.27.99.250,7
23.21.81.234,21
23.60.224.191,10
54.243.105.25,9
173.193.240.138,5
199.38.164.155,11
209.190.106.126,69
8.19.18.18,7
72.21.194.32,8
96.43.146.49,603
65.54.50.214,2
65.55.71.93,2
173.194.43.4,9
72.32.20.57,14
65.54.48.76,3
199.27.74.193,16
174.129.250.132,7
74.121.139.112,59
216.157.106.190,13
184.84.36.46,19
74.125.142.95,63
67.69.174.129,30
23.21.75.80,17
74.125.226.1,135
50.116.194.21,31
74.217.253.61,7
64.215.255.57,18
206.165.250.99,12
74.125.239.15,9
205.188.93.194,14
74.217.78.158,8
23.21.204.69,10
107.22.183.9,7
67.69.196.24,21
157.56.232.182,14
132.245.2.70,1
208.71.125.129,84
174.129.2.251,10
209.94.144.19,7
8.30.199.67,8
54.243.97.248,11
66.220.152.19,255
64.208.138.244,64
63.116.244.89,5
184.84.3.53,290
38.126.130.199,33
50.22.198.102,23
64.215.255.94,27
76.13.234.33,45
157.56.241.118,79
23.0.60.101,103
66.235.138.2,7
107.23.217.190,8
173.194.73.105,10
65.54.81.135,140
15.217.8.105,6
66.69.19.126,674
71.9.60.231,400
65.54.49.80,2
74.121.134.211,1
64.208.138.248,31
67.69.196.33,10
173.192.208.195,7
192.221.102.253,8
15.240.238.52,26
67.69.174.8,14
63.146.126.10,44
199.38.164.156,7
64.208.138.143,11
199.16.156.104,14
173.194.73.104,938
23.23.139.110,13
64.208.138.117,18
23.21.84.31,17
72.21.203.149,23
23.61.0.81,22
23.60.240.63,94
23.60.159.86,2
74.125.226.79,8
98.113.167.114,3
204.85.83.100,67
64.208.138.113,90
199.27.72.130,120
216.137.33.109,52
216.137.33.1,53
107.21.93.12,33
72.21.215.132,45
64.74.80.70,24
72.44.52.222,84
91.190.216.56,1
74.125.226.70,3944
74.125.226.14,1155
54.241.29.133,630
107.22.194.87,21
23.23.107.148,10
23.6.20.211,17
107.20.203.158,9
64.208.138.245,2
64.94.107.25,30
54.240.160.158,7
74.205.116.37,8
69.171.248.16,4
23.60.246.35,6
199.59.148.11,18
67.69.196.48,4
174.129.204.13,4
67.69.196.155,5
31.13.74.10,93
67.69.196.152,15
184.169.137.94,24
50.18.252.109,129
72.233.61.125,23
75.126.58.194,8
23.21.214.217,117
204.246.169.222,186
174.129.10.56,12
74.125.226.30,20
208.68.110.119,30
64.215.255.95,36
176.32.96.6,16
208.68.110.117,44
31.13.77.58,161
23.67.243.42,62
69.89.93.5,8
199.47.216.177,17
74.217.34.33,127
176.32.96.31,143
50.57.17.148,16
70.42.13.100,8
141.101.123.8,6
23.67.242.66,4
199.59.150.43,34
157.166.226.108,44
107.21.255.53,64
54.240.160.30,114
157.55.211.160,71
69.171.246.16,19
205.210.187.135,10
199.27.208.20,937
208.118.234.120,7
54.240.160.238,147
204.246.169.43,42
74.125.226.24,15
199.27.208.19,11
23.45.65.65,5
193.149.47.76,12
71.62.158.222,903
108.13.7.222,363
209.193.97.196,3
204.232.250.59,14
207.46.193.179,2
208.93.140.140,43
176.32.100.5,7
176.32.98.118,6
204.246.169.70,38
198.61.152.151,29
208.47.254.49,11
67.69.174.11,5
108.170.196.147,5
204.11.109.61,9
216.221.224.26,145
157.166.240.13,8
157.166.255.246,2
157.166.255.245,4
204.14.233.101,29
23.13.210.227,17
74.122.143.24,8
67.202.66.161,4
8.27.253.125,34
74.122.143.73,13
173.194.43.56,4
108.161.187.32,16
54.243.66.79,5
23.32.181.109,39
54.241.15.61,7
193.149.47.98,10
204.13.194.191,41
205.210.187.216,9
184.172.28.153,12
208.111.135.60,45
23.21.65.96,5
108.168.136.156,10
54.243.108.184,4
23.33.44.79,8
184.172.28.156,5
98.113.186.78,81
66.235.138.44,5
173.241.242.7,17
67.217.177.93,7
107.20.232.172,8
23.0.50.77,6
23.32.178.116,6
54.242.202.249,12
149.174.149.39,7
50.112.165.97,4
85.90.254.45,8
107.6.106.10,21
216.52.242.97,1
207.171.163.14,58
208.47.254.88,4
66.114.52.21,21
66.175.214.5,8
93.184.216.229,9
54.235.137.123,6
67.217.177.126,33
173.241.242.187,9
23.67.242.24,5
184.73.220.229,4
67.203.19.35,10
8.9.23.204,4
68.71.249.121,3
216.52.121.178,32
174.35.22.43,11
15.201.8.73,385
157.56.240.246,13
8.27.247.119,117
23.33.87.130,29
199.59.150.39,14
107.21.236.54,2
63.140.58.150,13
64.4.11.25,8
204.160.99.126,32
23.67.243.43,12
67.217.177.125,2
174.36.237.101,21
68.67.159.235,24
174.36.244.134,6
173.193.216.81,32
67.202.66.160,28
199.30.80.32,24
173.194.74.191,167
216.137.33.37,28
50.97.242.226,5
216.137.33.241,7
23.33.91.120,33
64.208.138.101,11
66.119.34.40,12
208.78.169.230,20
23.45.65.25,4
23.21.72.43,8
174.35.22.39,16
172.16.128.202,60
108.162.205.83,12
72.21.214.200,8
67.217.177.187,17
204.11.51.34,8
23.67.243.58,57
31.13.73.26,21
64.208.138.176,18
216.246.14.25,14
23.67.243.66,13
108.170.194.161,27
184.172.28.158,6
50.17.197.129,8
108.168.142.94,26
184.72.158.31,10
108.170.196.142,9
208.43.249.2,11
216.38.162.167,3
209.99.98.33,413
64.94.107.30,3
64.12.249.201,7
64.12.239.201,4
38.97.103.136,21
54.243.243.51,6
107.21.54.29,16
174.129.214.80,12
67.202.66.205,3
67.202.66.179,4
107.23.217.81,14
70.42.33.241,4
208.85.46.33,26
208.85.44.32,24
208.85.41.43,40
208.85.44.31,35
91.190.218.65,11
107.20.92.205,16
107.20.170.67,20
216.137.33.233,60
66.235.139.180,3
172.16.128.105,6
65.54.80.250,12
72.28.142.76,16
96.43.146.32,5
17.164.0.36,17
17.172.192.78,18
207.46.206.125,12
17.164.0.8,22
67.210.115.228,373
74.125.226.16,59
74.125.226.17,25
67.69.196.66,4
23.66.231.48,8
64.12.96.147,2
66.199.173.81,20
208.98.232.43,472
4.71.33.182,7
23.45.65.42,8
23.67.243.25,6
168.87.1.242,5
91.190.218.58,1
173.194.68.95,39
72.233.127.217,98
23.67.243.48,21
23.23.117.77,15
206.190.57.60,29
98.137.80.31,18
23.62.194.77,3
50.19.93.194,6
68.142.253.72,6
98.138.47.199,12
93.184.216.169,18
54.241.145.17,4
216.137.33.117,9
50.16.204.12,29
173.255.204.239,20
74.125.228.113,168
74.125.228.119,7
91.190.216.62,1
74.201.120.8,21
199.27.208.55,161
23.33.83.243,655
216.27.91.218,344
23.21.132.234,6
199.7.51.231,10
91.190.216.53,11
199.27.208.32,14
74.63.51.79,1290
23.67.243.50,22
74.63.52.167,2091
76.96.40.158,55
116.90.133.49,126
63.116.244.154,4
23.67.243.64,3
66.175.215.85,20
167.8.226.9,51
23.45.65.67,33
63.97.94.126,962
193.120.199.14,11
167.8.226.13,15
208.85.44.22,1139
66.151.183.41,6
128.177.36.73,397
54.234.89.21,14
23.67.243.33,6
23.67.242.211,4
184.75.210.3,42
67.69.196.176,12
67.69.174.114,38
107.21.205.223,10
74.113.233.133,10
23.67.243.26,34
173.194.73.94,65
